business_name,website,description,category,subcategory,city,state,country,is_verified
Telfar,https://telfar.net,"Luxury fashion brand",Fashion,"Clothing & Accessories","New York",NY,USA,true
BLK & Bold,https://blkandbold.com,"Black-owned coffee and tea company",Food & Beverage,Coffee,Des Moines,IA,USA,true
